anio,nivel,region,region_nombre,p10,p50,p90,ratio_90_10
2013,nacional,,Nacional,77225.3333333333,176479.25,525000,6.79828726324695
2013,regional,1,Tarapacá,,203500,,
2013,regional,2,Antofagasta,,244885,,
2013,regional,3,Atacama,,207058,,
2013,regional,4,Coquimbo,,171029,,
2013,regional,5,Valparaíso,,175000,,
2013,regional,6,O'Higgins,,162636.142857143,,
2013,regional,7,Maule,,140344.5,,
2013,regional,8,Biobío,,142812.5,,
2013,regional,9,La Araucanía,,132315.6,,
2013,regional,10,Los Lagos,,151642,,
2013,regional,11,Aysén,,205250,,
2013,regional,12,Magallanes,,235833.333333333,,
2013,regional,13,Metropolitana,,205833.5,,
2013,regional,14,Los Ríos,,143063,,
2013,regional,15,Arica y Parinacota,,168312.5,,
2015,nacional,,Nacional,92969,210188,602916.5,6.48513482988953
2015,regional,1,Tarapacá,,233869.4,,
2015,regional,2,Antofagasta,,296666.666666667,,
2015,regional,3,Atacama,,238474.4,,
2015,regional,4,Coquimbo,,186127.75,,
2015,regional,5,Valparaíso,,205000,,
2015,regional,6,O'Higgins,,192872.5,,
2015,regional,7,Maule,,169949.5,,
2015,regional,8,Biobío,,171536,,
2015,regional,9,La Araucanía,,154727.75,,
2015,regional,10,Los Lagos,,177820,,
2015,regional,11,Aysén,,255118.333333333,,
2015,regional,12,Magallanes,,300544,,
2015,regional,13,Metropolitana,,245000,,
2015,regional,14,Los Ríos,,180896,,
2015,regional,15,Arica y Parinacota,,210289.666666667,,
2017,nacional,,Nacional,108077.333333333,245000,695000,6.43058057193615
2017,regional,1,Tarapacá,,244198.8,,
2017,regional,2,Antofagasta,,310414.8,,
2017,regional,3,Atacama,,267145.5,,
2017,regional,4,Coquimbo,,194583.25,,
2017,regional,5,Valparaíso,,246666.666666667,,
2017,regional,6,O'Higgins,,214529.666666667,,
2017,regional,7,Maule,,194092,,
2017,regional,8,Biobío,,213333.25,,
2017,regional,9,La Araucanía,,184583.5,,
2017,regional,10,Los Lagos,,210000,,
2017,regional,11,Aysén,,310416.5,,
2017,regional,12,Magallanes,,357324.5,,
2017,regional,13,Metropolitana,,291708.25,,
2017,regional,14,Los Ríos,,205941.666666667,,
2017,regional,15,Arica y Parinacota,,227933,,
2017,regional,16,Ñuble,,185910.75,,
2024,nacional,,Nacional,199286,450000,1280667,6.42627680820529
2024,regional,1,Tarapacá,,420000,,
2024,regional,2,Antofagasta,,485000,,
2024,regional,3,Atacama,,431418,,
2024,regional,4,Coquimbo,,397679,,
2024,regional,5,Valparaíso,,434969,,
2024,regional,6,O'Higgins,,411810,,
2024,regional,7,Maule,,365385,,
2024,regional,8,Biobío,,400833,,
2024,regional,9,La Araucanía,,345499,,
2024,regional,10,Los Lagos,,428253,,
2024,regional,11,Aysén,,544229,,
2024,regional,12,Magallanes,,605622,,
2024,regional,13,Metropolitana,,518000,,
2024,regional,14,Los Ríos,,394958,,
2024,regional,15,Arica y Parinacota,,401688,,
2024,regional,16,Ñuble,,364500,,
