anio,metodologia,nivel,region,region_nombre,indicador,est,se,li,ls,n
2013,comparable_2013,nacional,,Nacional,pobreza,14.3813195694839,0.302156252982935,13.7891041959338,14.973534943034,218348
2013,comparable_2013,nacional,,Nacional,pobreza_extrema,4.51224570110057,0.14966016430338,4.2189171691456,4.80557423305554,218348
2013,comparable_2013,regional,1,Tarapacá,pobreza,8.22710773668944,0.826323449523236,6.607543536043,9.84667193733588,9905
2013,comparable_2013,regional,2,Antofagasta,pobreza,3.97128472074071,0.687869376138323,2.62308551744156,5.31948392403986,8146
2013,comparable_2013,regional,3,Atacama,pobreza,7.2630972112128,1.28582819276477,4.74292026308763,9.78327415933797,8010
2013,comparable_2013,regional,4,Coquimbo,pobreza,16.2328095632722,1.24078303980261,13.8009194926309,18.6646996339134,10544
2013,comparable_2013,regional,5,Valparaíso,pobreza,15.5889547937402,0.989827000634254,13.6489295215717,17.5289800659086,20510
2013,comparable_2013,regional,6,O'Higgins,pobreza,16.0127037645356,1.01368043056878,14.0259266287877,17.9994809002834,16507
2013,comparable_2013,regional,7,Maule,pobreza,22.3131443615448,1.14128885167374,20.0762593163073,24.5500294067824,14535
2013,comparable_2013,regional,8,Biobío,pobreza,22.3262084460472,0.987666599527549,20.3904174822401,24.2619994098543,31296
2013,comparable_2013,regional,9,La Araucanía,pobreza,27.9049595737431,1.11751868234371,25.7146632042987,30.0952559431874,17363
2013,comparable_2013,regional,10,Los Lagos,pobreza,17.6221619143626,1.08003421790906,15.5053337451899,19.7389900835352,13004
2013,comparable_2013,regional,11,Aysén,pobreza,6.77334069923447,0.832268154630629,5.14212509067883,8.40455630779012,5631
2013,comparable_2013,regional,12,Magallanes,pobreza,5.57527319305643,1.64789835859688,2.34545176002388,8.80509462608897,5858
2013,comparable_2013,regional,13,Metropolitana,pobreza,9.17108806675672,0.506070605339423,8.17920790665707,10.1629682268564,36618
2013,comparable_2013,regional,14,Los Ríos,pobreza,23.1352450106526,1.25388346570516,20.6776785770603,25.592811444245,11562
2013,comparable_2013,regional,15,Arica y Parinacota,pobreza,14.5795569129621,1.02187454054387,12.5767196167777,16.5823942091465,8859
2015,comparable_2013,nacional,,Nacional,pobreza,11.6740180586392,0.219320024311376,11.2441587099005,12.103877407378,266713
2015,comparable_2013,nacional,,Nacional,pobreza_extrema,3.53627814959417,0.111854196527198,3.3170479528812,3.75550834630714,266713
2015,comparable_2013,regional,1,Tarapacá,pobreza,7.14576403954604,0.825724968408564,5.52737284032978,8.76415523876229,8456
2015,comparable_2013,regional,2,Antofagasta,pobreza,5.41409702368308,0.943558011477125,3.56475730386369,7.26343674350248,6654
2015,comparable_2013,regional,3,Atacama,pobreza,6.86570987412747,0.584603271615228,5.71990851651733,8.0115112317376,13814
2015,comparable_2013,regional,4,Coquimbo,pobreza,13.803188507127,0.72899466803077,12.3743852128649,15.231991801389,12462
2015,comparable_2013,regional,5,Valparaíso,pobreza,12.0150338744804,0.592580532164964,10.8535973734975,13.1764703754633,27985
2015,comparable_2013,regional,6,O'Higgins,pobreza,13.7436124041861,0.867076541101072,12.0441736117884,15.4430511965837,22797
2015,comparable_2013,regional,7,Maule,pobreza,18.6845645123334,0.849867888312104,17.0188540596246,20.3502749650423,17329
2015,comparable_2013,regional,8,Biobío,pobreza,17.5518874842272,0.633777553879979,16.3097063044126,18.7940686640419,36077
2015,comparable_2013,regional,9,La Araucanía,pobreza,23.577519466594,0.932128969205887,21.750580258004,25.4044586751839,22032
2015,comparable_2013,regional,10,Los Lagos,pobreza,16.0616247797459,0.84113483385361,14.4130307992507,17.7102187602411,19373
2015,comparable_2013,regional,11,Aysén,pobreza,6.46915686711714,1.24835902499581,4.02241813834981,8.91589559588447,3352
2015,comparable_2013,regional,12,Magallanes,pobreza,4.41214534594326,0.772263975158516,2.89853576807483,5.92575492381168,5247
2015,comparable_2013,regional,13,Metropolitana,pobreza,7.10890983928599,0.39640365891608,6.33197294447057,7.8858467341014,57967
2015,comparable_2013,regional,14,Los Ríos,pobreza,16.7533441443295,1.35288318212763,14.1017418320694,19.4049464565896,10452
2015,comparable_2013,regional,15,Arica y Parinacota,pobreza,9.72073167823329,1.30998474073239,7.15320876610076,12.2882545903658,2716
2017,comparable_2013,nacional,,Nacional,pobreza,8.5919741587052,0.186852923155285,8.22574915891481,8.95819915849559,216231
2017,comparable_2013,nacional,,Nacional,pobreza_extrema,2.32097046079505,0.0889468165865302,2.14663790374596,2.49530301784414,216231
2017,comparable_2013,regional,1,Tarapacá,pobreza,6.40104111059492,0.563009065575827,5.29756361909675,7.50451860209309,10140
2017,comparable_2013,regional,2,Antofagasta,pobreza,5.12985494681042,0.65566103966876,3.84478292299356,6.41492697062727,8506
2017,comparable_2013,regional,3,Atacama,pobreza,7.91499013391196,0.951625646590377,6.04983813983018,9.78014212799374,6961
2017,comparable_2013,regional,4,Coquimbo,pobreza,11.8787695785814,0.826646292918412,10.2585726165078,13.4989665406551,9947
2017,comparable_2013,regional,5,Valparaíso,pobreza,7.10464102179882,0.409101115249348,6.30281756987493,7.90646447372271,19613
2017,comparable_2013,regional,6,O'Higgins,pobreza,10.0782568270257,0.729936779196786,8.64760702880886,11.5089066252426,15857
2017,comparable_2013,regional,7,Maule,pobreza,12.7252507244424,0.674367755351945,11.4035142116175,14.0469872372674,15200
2017,comparable_2013,regional,8,Biobío,pobreza,12.3162509217461,0.708433317008059,10.927747134962,13.7047547085301,21523
2017,comparable_2013,regional,9,La Araucanía,pobreza,17.1564613046551,0.776508745954227,15.6345321289045,18.6783904804058,15471
2017,comparable_2013,regional,10,Los Lagos,pobreza,11.6965792734144,0.836088670728742,10.0578755909041,13.3352829559247,12435
2017,comparable_2013,regional,11,Aysén,pobreza,4.60268553387348,0.756649528559329,3.11967970897799,6.08569135876898,5045
2017,comparable_2013,regional,12,Magallanes,pobreza,2.12618625233294,0.386126202097928,1.36939280273376,2.88297970193211,6634
2017,comparable_2013,regional,13,Metropolitana,pobreza,5.37173465816619,0.326453426423459,4.73189769974651,6.01157161658586,42485
2017,comparable_2013,regional,14,Los Ríos,pobreza,12.1178162932154,0.887303134970252,10.3787341053042,13.8568984811266,10172
2017,comparable_2013,regional,15,Arica y Parinacota,pobreza,8.42942840269791,0.920170517836346,6.6259273281031,10.2329294772927,7880
2017,comparable_2013,regional,16,Ñuble,pobreza,16.1400222926684,0.881958635778661,14.4114151306882,17.8686294546487,8362
2022,comparable_2013,nacional,,Nacional,pobreza,6.50312731283871,0.142439003449482,6.22395199608395,6.78230262959347,202111
2022,comparable_2013,nacional,,Nacional,pobreza_extrema,2.00158492534833,0.0760198216187671,1.85258881286438,2.15058103783227,202111
2022,comparable_2013,regional,1,Tarapacá,pobreza,11.0066073270313,1.26963635067448,8.51816580624646,13.4950488478162,8687
2022,comparable_2013,regional,2,Antofagasta,pobreza,7.62620067186981,0.662904610113128,6.32693151086252,8.92546983287711,9027
2022,comparable_2013,regional,3,Atacama,pobreza,8.19823527009666,0.75303559419917,6.72231262638956,9.67415791380374,9011
2022,comparable_2013,regional,4,Coquimbo,pobreza,7.91557982355464,0.633718211980347,6.67351495172605,9.15764469538324,8234
2022,comparable_2013,regional,5,Valparaíso,pobreza,6.57597879229221,0.435490109584996,5.72243386188222,7.42952372270221,20546
2022,comparable_2013,regional,6,O'Higgins,pobreza,7.02385538598311,0.462548012497341,6.11727794036774,7.93043283159848,13857
2022,comparable_2013,regional,7,Maule,pobreza,8.64227415253981,0.512054126134893,7.63866650718029,9.64588179789933,13737
2022,comparable_2013,regional,8,Biobío,pobreza,7.52308605680851,0.403126718027733,6.73297220826832,8.3131999053487,19908
2022,comparable_2013,regional,9,La Araucanía,pobreza,11.5661884404441,0.639922757440718,10.3119628829727,12.8204139979155,13574
2022,comparable_2013,regional,10,Los Lagos,pobreza,6.97996541603099,0.579674341712044,5.84382458351342,8.11610624854856,10702
2022,comparable_2013,regional,11,Aysén,pobreza,4.00973740477799,0.833256207344181,2.37658524848896,5.64288956106703,3746
2022,comparable_2013,regional,12,Magallanes,pobreza,3.44730679156909,0.856304980811788,1.76897986939572,5.12563371374245,5025
2022,comparable_2013,regional,13,Metropolitana,pobreza,4.42146652155138,0.249327895939767,3.93279282516828,4.91014021793447,38607
2022,comparable_2013,regional,14,Los Ríos,pobreza,5.86229105067479,0.479276320426058,4.92292672399683,6.80165537735274,10600
2022,comparable_2013,regional,15,Arica y Parinacota,pobreza,9.16802420293228,0.934194396300183,7.33703683162478,10.9990115742398,8145
2022,comparable_2013,regional,16,Ñuble,pobreza,12.0889156621854,0.776718624462213,10.5665751321179,13.6112561922528,8705
2022,nueva_2024,nacional,,Nacional,pobreza,20.4921474107432,0.237190399047816,20.0272627711308,20.9570320503556,202111
2022,nueva_2024,nacional,,Nacional,pobreza_extrema,8.47600799369413,0.15004370284333,8.18192774001417,8.77008824737409,202111
2022,nueva_2024,regional,1,Tarapacá,pobreza,26.7876546122054,1.42515599657049,23.9944001865759,29.5809090378348,8687
2022,nueva_2024,regional,2,Antofagasta,pobreza,19.5364154563819,1.02601307472942,17.5254667822451,21.5473641305188,9027
2022,nueva_2024,regional,3,Atacama,pobreza,21.1908942701249,1.00029440064457,19.2303532709245,23.1514352693254,9011
2022,nueva_2024,regional,4,Coquimbo,pobreza,24.2627435977695,1.02454534292796,22.2546716251025,26.2708155704366,8234
2022,nueva_2024,regional,5,Valparaíso,pobreza,20.9449605204365,0.641594009858753,19.6874593684167,22.2024616724563,20546
2022,nueva_2024,regional,6,O'Higgins,pobreza,21.0590210895441,0.742979129532893,19.6028087543947,22.5152334246935,13857
2022,nueva_2024,regional,7,Maule,pobreza,26.1270435999692,0.82453327690166,24.5109880731872,27.7430991267513,13737
2022,nueva_2024,regional,8,Biobío,pobreza,22.0159200207912,0.653207940288858,20.7356559834094,23.2961840581729,19908
2022,nueva_2024,regional,9,La Araucanía,pobreza,31.9702471697064,0.885429603947,30.2348370351247,33.7056573042881,13574
2022,nueva_2024,regional,10,Los Lagos,pobreza,21.4423926884666,0.886651796236439,19.7045871010154,23.1801982759178,10702
2022,nueva_2024,regional,11,Aysén,pobreza,14.9448799948166,1.09368614790488,12.8012945345327,17.0884654551005,3746
2022,nueva_2024,regional,12,Magallanes,pobreza,14.7067089130734,1.35945551078352,12.0422250733532,17.3711927527936,5025
2022,nueva_2024,regional,13,Metropolitana,pobreza,16.5331463399922,0.442377934758022,15.6661015203113,17.4001911596732,38607
2022,nueva_2024,regional,14,Los Ríos,pobreza,20.809791465402,0.801562705329567,19.2387574316056,22.3808254991984,10600
2022,nueva_2024,regional,15,Arica y Parinacota,pobreza,25.3037002559926,1.30269218840624,22.7504704837747,27.8569300282104,8145
2022,nueva_2024,regional,16,Ñuble,pobreza,29.64846533019,1.02850716680801,27.632628325405,31.6643023349751,8705
2024,comparable_2013,nacional,,Nacional,pobreza,4.89456496660357,0.111949669332173,4.67514764663134,5.11398228657579,218260
2024,comparable_2013,nacional,,Nacional,pobreza_extrema,1.48243365769657,0.0594055322004885,1.36600095410118,1.59886636129196,218260
2024,comparable_2013,regional,1,Tarapacá,pobreza,7.51363776718016,0.808334321664589,5.92933160924995,9.09794392511037,9728
