delito,pref,nivel,tasa_denuncia,se,li,ls,cifra_negra,n_victimas
Robo de vehículo,RDV,hogar,91.7504798554942,2.21527775081996,87.4086152481342,96.0923444628543,8.24952014450577,223
Agresión,AGR,persona,45.7575416528408,4.07972387996764,37.7614297812363,53.7536535244454,54.2424583471592,313
Fraude bancario,FRB,persona,44.6168988793518,1.89014581982905,40.912281146958,48.3215166117457,55.3831011206482,1637
Robo con violencia,RVI,persona,41.5873669236846,2.3216822239352,37.0369533812247,46.1377804661444,58.4126330763154,624
Suplantación de identidad,SUPLANT,persona,41.2391778208718,6.52553467981805,28.4493648685613,54.0289907731822,58.7608221791283,130
Robo en la vivienda,RFV,hogar,39.8224882038853,2.31491508954656,35.2853380011057,44.3596384066648,60.1775117961148,717
Amenaza,AMEN,persona,32.3199484184611,2.20701306159792,27.9942823043197,36.6456145326025,67.6800515815389,991
Robo por sorpresa,RPS,persona,31.1124790983953,2.31549473638637,26.5741928086859,35.6507653881047,68.8875209016047,683
Extorsión,EXT,persona,29.0768837392934,6.03416784464188,17.2501320871256,40.9036353914611,70.9231162607067,123
Estafa,EST,persona,24.3587213735816,2.27414349210358,19.9014820333824,28.8159607137808,75.6412786264184,911
Robo desde vehículo,RDDV,hogar,22.0549923910245,1.57966196570233,18.9589118305002,25.1510729515488,77.9450076089755,2088
Hurto,HUR,persona,20.3363367704019,1.44629664325086,17.501647438669,23.1710261021347,79.6636632295981,1461
Ciberacoso,BULLY,persona,17.0096099960588,3.034905502984,11.0613045137278,22.9579154783899,82.9903900039412,224
Hackeo de cuentas,HACK,persona,14.968809504099,1.66150387415122,11.7123217505889,18.2252972576092,85.031190495901,1088
Vandalismo a la vivienda,VANDVIV,hogar,11.6394616257932,1.71526134800248,8.27761115963476,15.0013120919517,88.3605383742068,512
Virus informático,VIRUS,persona,7.80780534416664,2.39928510094802,3.10529295766497,12.5103177306683,92.1921946558334,318
Vandalismo a vehículo,VANDVHC,hogar,7.30989616172248,0.888113550531264,5.56922558849921,9.05056673494575,92.6901038382775,1200
