motivo,pct,se,delito,pref,n_no_denuncia
El incidente no fue lo suficientemente serio,15.4958654561058,1.19109056761333,Robo desde vehículo,RDDV,1653
La justicia o tribunales no hubiera hecho nada,15.9222225992106,1.28195449460239,Robo desde vehículo,RDDV,1653
La policía me recomendó no registrar la denuncia,1.04703627313208,0.423335936103103,Robo desde vehículo,RDDV,1653
La policía no podría haber hecho nada,30.4423123127435,1.8454451255538,Robo desde vehículo,RDDV,1653
Otro,3.31352592192911,0.588333672388043,Robo desde vehículo,RDDV,1653
Por temor a amenazas o represalias,0.851995583023616,0.271608986895272,Robo desde vehículo,RDDV,1653
Porque conoce a los responsables,1.01817548074803,0.269855282561894,Robo desde vehículo,RDDV,1653
Porque el problema se solucionó,2.26708153496017,0.436739887403701,Robo desde vehículo,RDDV,1653
Porque el trámite demanda mucho tiempo,18.4713731902259,1.68289540239931,Robo desde vehículo,RDDV,1653
Porque no tenía seguro,1.0114421145662,0.425872285648837,Robo desde vehículo,RDDV,1653
Porque no tenía testigos,10.158969533355,1.09859433025962,Robo desde vehículo,RDDV,1653
El incidente no fue lo suficientemente serio,23.1639398258611,1.70935803158958,Vandalismo a vehículo,VANDVHC,1086
La justicia o tribunales no hubiera hecho nada,13.6736569584897,1.31215326852173,Vandalismo a vehículo,VANDVHC,1086
La policía me recomendó no registrar la denuncia,0.767480254594955,0.342971833623925,Vandalismo a vehículo,VANDVHC,1086
La policía no podría haber hecho nada,21.9193004752131,1.69909796329885,Vandalismo a vehículo,VANDVHC,1086
Otro,3.28720268164478,0.660003445647266,Vandalismo a vehículo,VANDVHC,1086
Por temor a amenazas o represalias,2.81560856256702,0.652215141582296,Vandalismo a vehículo,VANDVHC,1086
Porque conoce a los responsables,1.23390260359893,0.476085871551596,Vandalismo a vehículo,VANDVHC,1086
Porque el problema se solucionó,1.75964102612054,0.475550563549211,Vandalismo a vehículo,VANDVHC,1086
Porque el trámite demanda mucho tiempo,14.9234093002796,1.30887636426651,Vandalismo a vehículo,VANDVHC,1086
Porque no tenía seguro,0.8728086887021,0.334193351389974,Vandalismo a vehículo,VANDVHC,1086
Porque no tenía testigos,15.5830496229282,1.30728126455965,Vandalismo a vehículo,VANDVHC,1086
El incidente no fue lo suficientemente serio,12.1636278804414,2.00490742543366,Robo en la vivienda,RFV,414
La justicia o tribunales no hubiera hecho nada,15.179243542143,2.1162828677695,Robo en la vivienda,RFV,414
La policía me recomendó no registrar la denuncia,1.03185461284931,0.650605669853683,Robo en la vivienda,RFV,414
La policía no podría haber hecho nada,28.6285386895533,2.98374680266602,Robo en la vivienda,RFV,414
Otro,4.83051409432678,1.64040845467386,Robo en la vivienda,RFV,414
Por temor a amenazas o represalias,6.34606025943282,1.39900059267586,Robo en la vivienda,RFV,414
Porque conoce a los responsables,4.38856531450628,1.60466000342934,Robo en la vivienda,RFV,414
Porque el problema se solucionó,1.46145795134314,0.713534722482217,Robo en la vivienda,RFV,414
Porque el trámite demanda mucho tiempo,18.091108198549,3.17550992406929,Robo en la vivienda,RFV,414
Porque no tenía seguro,0.21377940412878,0.21390539606654,Robo en la vivienda,RFV,414
Porque no tenía testigos,7.66525005272622,1.64207148454413,Robo en la vivienda,RFV,414
El incidente no fue lo suficientemente serio,31.1924749126586,2.99681336866796,Vandalismo a la vivienda,VANDVIV,427
La justicia o tribunales no hubiera hecho nada,9.5526034861644,2.03358620362461,Vandalismo a la vivienda,VANDVIV,427
La policía me recomendó no registrar la denuncia,0.782414944334026,0.497975112301646,Vandalismo a la vivienda,VANDVIV,427
La policía no podría haber hecho nada,28.3436297102917,3.48187181737582,Vandalismo a la vivienda,VANDVIV,427
Otro,5.91115042962699,1.3007808776775,Vandalismo a la vivienda,VANDVIV,427
Por temor a amenazas o represalias,2.64041364871186,0.837034741799062,Vandalismo a la vivienda,VANDVIV,427
Porque conoce a los responsables,1.27592126474924,0.689666646446878,Vandalismo a la vivienda,VANDVIV,427
Porque el problema se solucionó,3.87944814288451,1.06373590893879,Vandalismo a la vivienda,VANDVIV,427
Porque el trámite demanda mucho tiempo,7.41096692102587,1.34460769856339,Vandalismo a la vivienda,VANDVIV,427
Porque no tenía testigos,9.01097653955284,1.86052342236324,Vandalismo a la vivienda,VANDVIV,427
El incidente no fue lo suficientemente serio,3.50948245544174,0.919050303039069,Robo con violencia,RVI,338
La justicia o tribunales no hubiera hecho nada,15.7381688800737,2.22223623270602,Robo con violencia,RVI,338
La policía me recomendó no registrar la denuncia,1.15791583694471,0.483793324959694,Robo con violencia,RVI,338
La policía no podría haber hecho nada,36.6752779744017,3.3394959246906,Robo con violencia,RVI,338
Otro,9.73988788538018,2.24208450192104,Robo con violencia,RVI,338
Por temor a amenazas o represalias,9.06753944338477,2.30648806711892,Robo con violencia,RVI,338
Porque conoce a los responsables,0.591294598214701,0.541143633292495,Robo con violencia,RVI,338
Porque el problema se solucionó,0.137285870282917,0.102444506572294,Robo con violencia,RVI,338
Porque el trámite demanda mucho tiempo,16.6585114693961,2.56708789527677,Robo con violencia,RVI,338
Porque no tenía testigos,6.72463558647949,1.69938113499799,Robo con violencia,RVI,338
El incidente no fue lo suficientemente serio,6.54841423138953,1.47372186122198,Robo por sorpresa,RPS,462
La justicia o tribunales no hubiera hecho nada,20.5579351700414,2.39936518314875,Robo por sorpresa,RPS,462
La policía me recomendó no registrar la denuncia,1.01858848939817,0.505890001000783,Robo por sorpresa,RPS,462
La policía no podría haber hecho nada,37.5806489397497,3.12754505150754,Robo por sorpresa,RPS,462
Otro,4.77777584307242,1.32510670742555,Robo por sorpresa,RPS,462
Por temor a amenazas o represalias,3.69134467330632,1.08656791383019,Robo por sorpresa,RPS,462
Porque el problema se solucionó,1.82524905973363,0.7930635585582,Robo por sorpresa,RPS,462
Porque el trámite demanda mucho tiempo,15.94248139706,2.01585657263908,Robo por sorpresa,RPS,462
Porque no tenía seguro,1.14552961588844,0.812595240125162,Robo por sorpresa,RPS,462
Porque no tenía testigos,6.91203258036031,1.88481951343607,Robo por sorpresa,RPS,462
El incidente no fue lo suficientemente serio,14.8156971293928,1.28914306101264,Hurto,HUR,1140
La justicia o tribunales no hubiera hecho nada,11.7514792100068,1.22722218146776,Hurto,HUR,1140
La policía me recomendó no registrar la denuncia,1.19268314490165,0.410726568498187,Hurto,HUR,1140
La policía no podría haber hecho nada,32.8972587139149,1.97344945105213,Hurto,HUR,1140
Otro,3.98151047033744,0.711261044146512,Hurto,HUR,1140
Por temor a amenazas o represalias,2.42491331100104,0.671154588712004,Hurto,HUR,1140
Porque conoce a los responsables,4.0835577638259,0.848978370739508,Hurto,HUR,1140
Porque el problema se solucionó,2.74045511214186,0.578947990680725,Hurto,HUR,1140
Porque el trámite demanda mucho tiempo,15.1569586992787,1.38700141419086,Hurto,HUR,1140
Porque no tenía seguro,0.0443706555554774,0.0443952441731276,Hurto,HUR,1140
Porque no tenía testigos,10.9111157896435,1.15958338178557,Hurto,HUR,1140
El incidente no fue lo suficientemente serio,6.0274109481113,1.24087049380699,Fraude bancario,FRB,934
La justicia o tribunales no hubiera hecho nada,7.50729897227661,1.23027386093223,Fraude bancario,FRB,934
