indicador,fuente,nombre,unidad,anio,region,region_nombre,est,li,ls,cobertura
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,0,Nacional,176616.75,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,1,Tarapacá,203500,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,2,Antofagasta,244885,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,3,Atacama,207058,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,4,Coquimbo,171029,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,5,Valparaíso,175000,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,6,O'Higgins,162636.14,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,7,Maule,140344.5,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,8,Biobío,143019.33,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,9,La Araucanía,132367,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,10,Los Lagos,151642,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,11,Aysén,205250,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,12,Magallanes,235833.33,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,13,Metropolitana,206029,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,14,Los Ríos,143070.33,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2013,15,Arica y Parinacota,168333.33,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,0,Nacional,210333.5,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,1,Tarapacá,233869.4,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,2,Antofagasta,296666.67,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,3,Atacama,238541.75,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,4,Coquimbo,186127.75,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,5,Valparaíso,205097.33,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,6,O'Higgins,192916.67,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,7,Maule,169960.67,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,8,Biobío,171564,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,9,La Araucanía,154764,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,10,Los Lagos,177942.25,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,11,Aysén,254999,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,12,Magallanes,300544,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,13,Metropolitana,245666.67,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,14,Los Ríos,180905,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2015,15,Arica y Parinacota,210289.67,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,0,Nacional,245000,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,1,Tarapacá,244198.8,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,2,Antofagasta,310414.8,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,3,Atacama,267145.5,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,4,Coquimbo,194583.25,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,5,Valparaíso,246666.67,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,6,O'Higgins,214529.67,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,7,Maule,194092,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,8,Biobío,213333.25,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,9,La Araucanía,184583.5,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,10,Los Lagos,210000,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,11,Aysén,310416.5,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,12,Magallanes,357324.5,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,13,Metropolitana,291708.25,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,14,Los Ríos,205941.67,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,15,Arica y Parinacota,227933,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2017,16,Ñuble,185910.75,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,0,Nacional,379375,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,1,Tarapacá,331050,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,2,Antofagasta,418812,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,3,Atacama,349778,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,4,Coquimbo,337500,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,5,Valparaíso,358392,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,6,O'Higgins,361460,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,7,Maule,316250,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,8,Biobío,342449,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,9,La Araucanía,297204,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,10,Los Lagos,354687,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,11,Aysén,458250,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,12,Magallanes,505752,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,13,Metropolitana,439018,,,regional
casen_mediana_ypc,CASEN (MDSF),Mediana ingreso per cápita del hogar ($),$,2022,14,Los Ríos,348357,,,regional
